Key,English
tutorialTipQuest01,"Six billion people on Earth when the infection hit. The Krippin Virus had a 90 percent kill rate; that's 5.4 BILLION people, dead. Crashed and bled out. Dead. Less than one-percent immunity. That left 12 million healthy people, like you.\n\nThe other 588 MILLION turned into Dark Seekers, and then they got hungry, and they killed and fed on everybody. EVERYBODY!\n\nEvery single person that you or I has ever known is dead! DEAD!\n\nTHERE IS NO GOD!\n\n[32cd32]ABOUT THE 'I AM LEGEND' MOD.[-]\n\nZombies (Dark Seekers) [cd5c5c]do not[-] spawn in the wild during the day. You are free to move about the world, but be warned...\n\n[cd5c5c]Buildings are DANGEROUS[-]. They are filled with fast-moving enemies, and you'll need to be careful when looking for supplies.\n\nThere are [cd5c5c]no traders[-]; all trader compounds have been abandoned.\n\nWhen night falls, you'll want to be [ffc40c]inside[-] and [ffc40c]well hidden[-]. Dark Seekers will be out in force, and they're hungry ..."
tutorialTipQuest01_title,I Am Legend
tutorialTipQuest02,"In 2009 a deadly virus burned through our civilization, pushing humankind to the edge of extinction.\n\nDr. Robert Neville dedicated his life to the discovery of a cure, and the restoration of humanity.\n\nOn September 9th, 2012, at approximately 8:49 p.m. he discovered that cure; and at 8:52 he gave his life to defend it.\n\nWe are his legacy.\n\nThis is his legend."
tutorialTipQuest02_title,Light up the darkness
IAmLegendTip,"In 2009 a deadly virus burned through our civilization, pushing humankind to the edge of extinction.\n\nDr. Robert Neville dedicated his life to the discovery of a cure, and the restoration of humanity.\n\nOn September 9th, 2012, at approximately 8:49 p.m. he discovered that cure; and at 8:52 he gave his life to defend it.\n\nWe are his legacy.\n\nThis is his legend."
IAmLegendTip_title,Light up the darkness
IAmLegendTip02,"There are 4 types of Dark Seeker; [cd5c5c]Normal[-] (both male & female), [ed9121]Hunter[-], [ffc40c]Alpha[-] (male & female), and [6a5acd]Spitter[-].\n\n[cd5c5c]Normal[-] Dark Seekers are various humans, infected by KV. They have different characteristics, such as movement speed, movement type, and health, but are effectively the 'grunts' of the Dark Seekers.\n\n[ed9121]Hunters[-] move on all fours, can jump much bigger distances, and can launch a leaping attack on unsuspecting individuals.\n\n[ffc40c]Alphas[-] are bigger, tougher, and look more skeletal, but can be just as fast.\n\n[6a5acd]Spitters[-] have evolved to launch acidic projectiles at whatever they're hunting, and when damaged, have a tendency to explode, damaging anything around them. They are more skeletal than 'normals', but they look more animalistic, with mandibles instead of a mouth.\n\nThere are also 2 sub-variants of these creatures. [ffc40c]Feral[-], characterized by glowing yellow eyes, and MUCH tougher than non-ferals; and [008000]Radiated[-], characterized by their glowing green skin. As tough as feral variants, Radiated Dark Seekers can regenerate health at an alarming rate."
IAmLegendTip02_title,Dark Seekers

survivalTip,Your current health is displayed in red and maximum health in grey. Damaged health or your maximum health cap is displayed in black.\n\nEat food or use medicine to restore health. Cure afflictions like abrasions to restore your maximum health cap.\n\nYour current stamina is displayed in pale yellow and maximum stamina is grey. Hunger lowers your maximum stamina cap and is displayed in black.\n\nYour health and stamina recovery rate is determined by your hydration level.\nFood and water bars are located to the right of your belt slots / hotbar and the stats are found on the character page in the core and extended character stats tabs. Visible buffs will notify you if lack of food or water starts affecting you.
buffDrunkGrandpasAwesomeSauceDesc,It tastes like brass or ass but you feel incredible.\n+2 to all attributes ... for a while.
drinkJarGrandpasAwesomeSauceDesc,Apocalypse getting you down?\nTake a shot of Grandpa's Awesome Sauce\nand get an instant pick-me-up!\n\n+2 to all attributes for the duration of the buff.
zombieArlene,Female Dark Seeker
zombieArleneFeral,Feral Female Dark Seeker
zombieArleneRadiated,Radiated Female Dark Seeker
zombieBiker,Alpha Male Dark Seeker
zombieBikerFeral,Feral Alpha Male Dark Seeker
zombieBikerRadiated,Radiated Alpha Male Dark Seeker
zombieBoe,Male Dark Seeker
zombieBoeFeral,Feral Male Dark Seeker
zombieBoeRadiated,Radiated Male Dark Seeker
zombieBurnt,Male Dark Seeker
zombieBurntFeral,Feral Male Dark Seeker
zombieBurntRadiated,Radiated Male Dark Seeker
zombieBusinessMan,Male Dark Seeker
zombieBusinessManFeral,Feral Male Dark Seeker
zombieBusinessManRadiated,Radiated Male Dark Seeker
zombieDarlene,Female Dark Seeker
zombieDarleneFeral,Feral Female Dark Seeker
zombieDarleneRadiated,Radiated Female Dark Seeker
zombieFatCop,Dark Seeker Spitter
zombieFatCopFeral,Feral Dark Seeker Spitter
zombieFatCopRadiated,Radiated Dark Seeker Spitter
zombieFatHawaiian,Alpha Male Dark Seeker
zombieFatHawaiianFeral,Feral Alpha Male Dark Seeker
zombieFatHawaiianRadiated,Radiated Alpha Male Dark Seeker
zombieFemaleFat,Alpha Female Dark Seeker
zombieFemaleFatFeral,Feral Alpha Female Dark Seeker
zombieFemaleFatRadiated,Radiated Alpha Female Dark Seeker
zombieJanitor,Male Dark Seeker
zombieJanitorFeral,Feral Male Dark Seeker
zombieJanitorRadiated,Radiated Male Dark Seeker
zombieJoe,Male Dark Seeker
zombieJoeFeral,Feral Male Dark Seeker
zombieJoeRadiated,Radiated Male Dark Seeker
zombieLab,Female Dark Seeker
zombieLabFeral,Feral Female Dark Seeker
zombieLabRadiated,Radiated Female Dark Seeker
zombieLumberjack,Alpha Male Dark Seeker
zombieLumberjackFeral,Feral Alpha Male Dark Seeker
zombieLumberjackRadiated,Radiated Alpha Male Dark Seeker
zombieMaleHazmat,Male Dark Seeker
zombieMaleHazmatFeral,Feral Male Dark Seeker
zombieMaleHazmatRadiated,Radiated Male Dark Seeker
zombieMarlene,Female Dark Seeker
zombieMarleneFeral,Feral Female Dark Seeker
zombieMarleneRadiated,Radiated Female Dark Seeker
zombieMoe,Male Dark Seeker
zombieMoeFeral,Feral Male Dark Seeker
zombieMoeRadiated,Radiated Male Dark Seeker
zombieNurse,Female Dark Seeker
zombieNurseFeral,Feral Female Dark Seeker
zombieNurseRadiated,Radiated Female Dark Seeker
zombiePartyGirl,Female Dark Seeker
